trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-184.7871908618685,"{0: 18, 1: 2, 2: 4, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-182.50257731591205,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-204.6398879081575,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-85.5432108764365,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-186.11214297733468,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-64.77791047236383,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-98.81773154105383,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-63.40066830707762,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-203.33803437747443,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-15.424800003760886,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-246.89941772437902,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,0,-106.08692591120496,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-77.20152584108413,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-6.780901877365268,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
