trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.986}",30,0,-261.2847366514264,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.972196}",20,0,-120.9798948420493,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9585852559999999}",20,0,-175.77910740373923,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9451650624159998}",20,0,-81.68638670307202,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9319327515421758}",20,0,-45.54072573981121,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9188856930205853}",25,0,-157.57485920232412,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9060212933182971}",35,0,-164.68287135971318,"{0: 26, 1: 1, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.8933369952118408}",20,3,-42.846559959520064,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.8808302772788751}",25,0,-100.12479205804894,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8684986533969709}",30,3,-122.96600606266968,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.8563396722494132}",20,0,-65.97406477236491,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8443509168379214}",20,7,-26.460127859893724,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8325300040021905}",25,3,-152.34286942816158,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.8208745839461598}",25,3,-153.57662449432564,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 4}",1
15,False,"{'a': 0.5, 'e': 0.8093823397709136}",25,13,-2.5608440515881563,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.7980509870141208}",25,0,-148.15271457537585,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.7868782731959231}",20,0,-85.4521182005569,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.7758619773711801}",20,0,-7.192400569878331,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.7649999096879836}",20,6,-108.49410359455558,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.7542899109523518}",20,0,-110.31340660546066,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.7437298521990189}",25,0,-84.67034153633261,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.7333176342682326}",20,0,-41.66245980729253,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7230511873884773}",20,0,-86.5295455922591,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7129284707650386}",25,0,-80.22348265951084,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7029474721743281}",25,3,-90.69077051696267,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.6931062075638875}",30,0,-155.68441775653775,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.6834027206579931}",30,0,-65.09851374707237,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.6738350825687812}",20,0,-14.005890868781186,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.6644013914128183}",30,0,-161.29335821683767,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.6550997719330388}",20,9,-48.51264202699942,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 0}",1
